ghost_job,vagueness_score,salary_present,days_opened,post_on_website,hiring_timeline,hiring_manager_listed,repost_frequency_year
True,7.99,False,75.0,False,False,False,1
False,8.05,True,85.4,True,True,True,7
True,7.21,False,74.0,False,False,False,2
True,9.06,True,63.1,False,False,False,1
False,2.7,True,72.0,True,True,False,3
True,9.93,False,21.5,False,False,False,11
True,0.6,False,51.5,False,False,False,1
False,0.36,True,10.0,True,True,False,2
False,9.63,True,33.6,True,False,True,14
False,0.74,True,15.7,True,True,False,19
True,1.85,False,3.0,False,False,True,8
False,2.34,True,28.7,True,True,True,10
True,7.89,True,8.9,False,True,True,14
True,0.92,False,98.0,False,False,True,18
True,7.82,False,83.1,False,True,True,11
True,8.05,False,5.1,True,False,False,9
False,2.17,True,33.4,False,True,False,19
True,7.51,False,88.5,False,False,False,11
True,0.95,False,64.5,False,True,False,2
False,8.91,True,1.9,True,True,False,4
True,0.29,False,82.3,False,False,False,2
False,9.06,True,23.1,True,True,False,1
True,8.76,False,44.5,False,False,False,1
False,2.97,True,0.4,True,True,False,19
False,2.64,True,33.7,False,True,False,9
False,8.14,True,27.5,False,True,False,19
True,7.68,False,60.1,True,False,False,2
True,7.7,False,95.6,True,False,False,1
True,9.27,False,81.2,False,False,False,2
False,1.19,True,31.5,True,True,False,16
True,7.05,False,40.8,False,False,True,1
False,2.9,True,50.8,True,True,True,6
False,1.14,True,2.3,False,True,True,5
False,2.86,False,16.1,True,True,True,6
False,0.99,True,94.1,True,False,True,8
True,7.72,False,70.1,True,False,False,20
True,0.72,False,91.3,False,True,False,1
False,2.11,True,5.2,True,True,True,17
True,9.83,False,68.4,False,False,False,1
True,2.81,False,86.2,False,False,True,1
True,9.03,False,62.0,False,False,False,1
True,7.94,False,70.3,False,False,False,2
False,2.61,True,22.2,True,False,True,10
False,2.17,True,15.5,True,True,True,6
True,9.78,False,23.5,False,False,False,2
True,7.65,True,66.1,False,True,False,1
False,7.38,True,19.0,True,False,False,9
False,9.59,True,23.7,True,True,False,15
True,2.19,False,86.6,False,False,False,2
True,9.83,False,84.8,False,False,True,1
False,1.25,False,19.2,True,False,True,7
True,8.25,False,87.6,True,False,True,13
False,2.48,False,87.4,True,False,True,9
False,9.21,True,24.0,True,True,True,16
False,9.61,True,15.6,True,True,True,1
True,0.02,False,10.8,False,True,False,3
True,8.35,False,80.2,False,True,True,1
False,0.25,False,12.7,True,False,True,13
False,9.19,True,88.9,False,False,True,2
False,1.35,True,28.1,True,False,True,16
True,7.58,False,20.3,False,False,True,2
True,8.78,False,24.7,True,False,False,2
False,1.7,True,0.4,True,True,True,10
True,8.03,False,67.6,False,False,True,2
False,0.83,False,8.5,True,True,True,6
False,7.14,True,28.1,False,False,True,1
True,1.72,False,67.9,False,False,False,2
True,8.49,True,52.2,True,True,False,4
True,7.31,False,76.6,True,False,True,1
False,1.56,True,33.9,False,True,True,5
True,7.33,False,81.2,False,False,False,1
True,8.48,False,50.8,False,False,False,1
False,0.2,True,8.8,True,False,False,18
True,7.87,False,37.0,False,False,True,2
True,8.22,False,50.9,False,False,False,2
True,2.07,True,4.5,False,False,False,1
True,9.58,False,41.0,False,False,False,1
False,2.29,True,7.4,True,True,True,17
False,2.09,True,27.1,True,False,True,18
True,1.88,False,41.5,True,False,True,1
False,8.96,True,46.0,True,True,False,8
True,1.78,False,80.0,False,False,True,1
True,8.78,False,24.9,False,True,False,9
False,2.02,True,100.0,True,False,False,4
True,0.28,False,93.5,False,False,False,2
False,2.11,True,33.1,True,True,True,14
True,8.2,False,46.8,True,False,False,2
True,9.24,True,39.2,False,False,True,2
True,2.6,True,90.4,True,False,False,9
False,8.32,False,50.2,False,True,False,10
True,7.74,False,96.8,False,True,False,2
True,0.76,False,61.9,True,False,False,1
True,0.9,False,52.0,False,False,True,1
False,8.1,False,11.9,True,True,False,2
False,1.7,True,1.2,True,False,True,10
True,9.84,False,8.0,False,False,True,11
False,2.15,True,28.2,True,True,True,13
False,1.75,False,34.1,False,False,False,17
True,7.68,False,73.8,True,False,False,5
False,1.62,True,0.9,False,True,True,18
True,9.87,False,49.3,True,False,True,16
False,1.01,False,19.1,False,False,False,1
True,7.55,False,36.9,False,True,True,2
True,7.27,False,85.9,False,False,True,7
True,7.1,False,65.7,False,False,False,5
True,7.41,False,9.0,False,False,False,4
False,1.65,False,31.3,True,True,False,15
False,0.41,True,62.1,True,False,False,14
True,1.1,False,67.6,False,True,True,1
True,8.21,False,82.3,False,False,False,2
True,8.92,True,67.9,False,False,False,1
False,1.65,True,91.6,True,True,True,20
True,8.61,False,61.8,False,False,False,10
True,7.45,False,73.8,False,False,True,1
False,0.12,True,0.4,False,False,True,9
True,8.58,False,57.9,False,False,False,1
False,0.59,True,20.8,True,False,True,9
False,0.65,True,13.1,True,True,False,14
False,1.61,True,6.0,False,True,False,2
False,1.81,True,34.6,True,True,True,1
True,7.96,True,36.1,False,False,False,2
True,0.32,False,79.6,True,True,False,2
True,9.92,True,90.5,False,True,True,6
False,2.19,True,13.8,True,True,True,13
False,2.29,True,51.3,True,True,True,9
True,1.78,False,80.0,False,True,False,9
True,8.96,False,7.4,True,True,True,1
True,1.2,False,47.5,False,True,True,3
False,0.46,True,6.1,False,False,False,2
False,1.27,True,16.2,True,True,True,10
False,0.19,True,23.7,True,False,False,17
True,7.32,False,48.7,False,False,False,1
True,9.22,False,70.9,False,False,True,2
True,8.85,False,84.8,False,False,True,1
False,0.43,False,24.3,True,True,False,2
False,2.86,True,56.2,True,False,False,20
True,7.44,False,98.4,False,False,False,8
False,1.14,True,19.2,True,True,False,15
True,8.2,False,7.1,True,False,False,1
False,7.69,False,11.3,True,True,True,6
True,9.13,False,85.3,False,False,False,2
False,1.1,True,85.5,True,True,False,3
False,9.51,True,6.4,True,True,True,9
False,9.26,True,68.8,True,False,True,18
True,9.61,False,85.0,False,False,True,1
False,8.79,True,73.2,True,True,True,5
False,8.33,True,77.7,False,True,True,16
True,8.4,False,69.4,False,False,False,2
False,8.62,True,9.4,False,True,True,10
True,1.29,False,64.6,False,False,True,1
True,8.96,True,62.3,False,True,False,2
False,0.4,True,26.7,False,True,False,17
True,1.52,False,71.4,False,False,False,20
True,9.84,False,11.8,False,True,False,16
False,2.35,True,46.6,True,True,False,12
False,7.58,True,2.6,True,True,False,1
False,7.1,True,13.3,True,True,True,6
True,7.88,False,52.5,False,False,True,7
False,0.04,False,22.8,True,True,True,15
