ghost_job,vagueness_score,salary_present,days_opened,hiring_manager_listed,post_on_website,hiring_timeline
True,9.84,False,48.4,True,True,False
False,1.53,True,9.2,False,False,True
True,7.34,True,10.2,True,True,False
False,2.71,True,21.6,True,False,True
False,1.45,True,23.4,True,False,True
True,7.75,False,70.9,False,True,False
True,9.93,False,85.5,False,False,True
False,2.39,False,27.0,True,True,True
True,1.42,False,13.4,False,False,True
True,8.46,False,46.1,False,True,False
True,8.98,False,5.4,False,True,False
True,9.38,False,21.2,False,False,False
True,7.23,True,78.7,True,False,False
True,7.41,False,86.9,False,False,False
False,1.3,True,0.7,True,True,True
False,0.04,True,53.7,False,True,True
True,7.27,False,57.3,False,False,False
False,2.58,True,10.5,True,True,True
True,0.55,False,35.6,False,False,False
False,0.76,False,29.1,True,True,False
False,2.47,True,55.1,True,True,True
True,9.94,False,82.6,False,False,False
True,2.21,False,20.1,False,False,False
True,8.27,False,45.1,False,True,False
True,9.58,True,74.2,False,True,False
True,8.64,False,68.7,False,False,False
True,2.44,False,87.4,True,False,False
True,2.73,False,94.9,False,False,False
True,8.22,False,85.4,True,False,False
False,0.5,True,15.0,True,True,True
False,0.4,True,26.3,True,True,True
False,1.45,True,18.6,True,True,False
False,9.35,False,9.3,True,True,True
False,0.32,False,32.8,True,False,False
False,0.85,True,9.2,True,True,True
True,9.85,False,16.3,False,False,True
True,7.27,False,72.8,False,False,True
False,1.54,True,22.1,False,False,True
False,0.97,False,5.8,True,True,False
True,8.52,False,17.7,True,False,True
True,7.34,False,57.5,False,False,False
True,1.96,True,89.7,False,False,False
False,8.25,True,33.3,True,False,True
True,9.03,False,24.0,False,False,False
True,8.79,False,16.0,True,False,False
True,9.17,False,9.5,False,False,False
False,1.11,True,9.4,False,True,True
True,8.27,False,50.1,False,False,False
False,1.81,True,21.4,True,False,True
False,0.97,True,26.9,True,True,True
False,2.27,True,5.7,True,True,True
False,0.89,True,56.9,True,True,True
True,9.29,False,79.6,False,True,False
False,8.45,True,24.5,False,True,True
True,0.94,False,58.2,False,False,False
True,8.92,True,80.9,False,False,False
False,0.38,True,3.1,True,True,True
True,1.56,False,84.9,False,False,False
True,9.09,False,68.6,True,True,True
True,9.43,False,61.1,False,False,True
True,9.23,False,38.3,False,False,False
True,8.97,False,92.6,False,False,False
True,0.69,True,63.0,False,True,False
False,8.92,True,9.6,True,True,True
True,8.1,False,63.6,False,False,False
True,1.99,False,43.8,True,False,False
True,2.3,True,49.7,True,False,False
False,0.66,True,2.5,True,True,True
False,0.83,True,89.6,True,True,False
False,2.28,True,31.9,True,True,True
True,9.78,False,64.5,True,False,False
True,2.26,False,46.4,False,False,False
True,7.12,False,64.2,False,True,False
True,0.21,False,64.8,True,False,False
False,2.2,False,17.7,False,True,True
False,2.66,False,28.7,True,True,True
False,2.6,True,50.7,False,True,True
True,9.93,False,72.1,False,False,False
False,7.15,True,18.4,False,False,True
True,7.74,False,46.5,True,True,False
False,1.55,True,15.4,True,False,True
False,2.04,True,2.0,True,False,True
True,7.59,False,86.7,True,False,False
True,8.75,False,26.7,False,True,False
True,2.32,False,21.1,False,False,False
True,9.46,False,9.7,False,True,False
True,2.45,False,45.3,False,True,False
True,8.97,False,38.1,False,True,False
True,7.4,False,64.9,False,True,False
False,2.39,True,5.6,True,True,True
True,7.46,False,21.3,True,False,False
True,7.2,False,80.6,False,True,False
False,0.49,True,6.3,True,True,True
False,2.89,True,0.2,True,False,True
False,0.96,True,17.4,True,True,True
False,2.39,False,28.6,True,True,False
False,8.07,True,12.2,True,True,True
True,7.78,False,14.7,False,False,False
True,8.42,False,15.7,False,True,False
True,7.37,False,64.5,False,False,False
True,8.53,False,20.1,False,False,False
True,2.49,False,12.4,False,True,False
False,2.49,True,34.7,False,True,True
True,8.38,False,85.2,False,True,False
True,9.91,True,35.6,False,False,False
True,7.8,False,13.3,False,False,False
True,9.71,True,83.3,False,False,True
True,9.27,False,79.3,False,False,True
False,9.96,True,52.1,True,True,True
False,0.82,True,18.5,True,True,True
True,1.33,False,61.9,False,False,False
True,9.98,True,64.6,False,False,False
False,2.14,True,15.4,True,True,True
True,7.64,False,83.8,False,True,False
True,8.71,False,92.9,False,False,False
False,2.4,True,30.7,True,False,True
True,0.89,True,95.5,False,False,False
True,7.58,False,91.8,False,True,True
False,1.99,True,25.4,True,True,True
False,2.76,False,10.3,True,True,True
False,2.99,True,45.4,True,False,True
False,7.03,True,21.5,True,False,True
False,0.54,True,96.2,True,True,False
True,8.3,False,63.6,False,False,False
True,9.88,True,99.4,True,False,False
False,1.67,True,65.4,True,False,True
False,2.0,True,19.1,True,True,True
False,0.44,True,27.5,True,True,True
True,8.29,False,37.5,False,True,True
True,8.96,True,89.5,False,False,False
False,1.29,True,27.7,True,True,False
False,7.92,True,60.3,True,True,True
False,2.32,False,21.9,True,True,True
False,0.41,True,34.8,True,True,True
False,0.91,True,22.0,True,True,True
True,7.11,False,56.7,False,False,False
True,7.14,False,42.3,False,False,False
True,7.96,False,53.2,False,False,False
True,8.39,True,59.8,False,False,False
False,0.21,True,14.3,True,True,True
False,2.79,True,26.1,True,False,True
True,7.59,True,56.9,False,False,False
False,9.02,True,36.0,True,False,False
False,2.61,True,17.8,True,True,True
True,7.12,False,13.8,False,False,False
True,2.19,False,69.5,False,False,True
True,7.85,False,68.6,True,False,False
True,0.42,False,57.3,False,False,False
True,7.87,False,67.1,False,True,False
False,1.95,True,31.0,True,True,True
True,1.54,False,99.4,False,False,False
False,1.21,False,18.4,True,False,True
False,1.16,True,5.4,True,True,True
False,0.94,True,0.8,True,True,True
True,7.24,True,25.8,True,True,False
True,9.8,False,16.0,True,True,False
True,8.3,False,79.3,False,False,False
False,0.64,True,15.6,True,True,True
True,9.16,False,83.1,False,False,False
True,8.43,False,35.4,False,False,True
False,0.46,False,10.7,True,True,False
True,7.77,False,23.9,False,True,True
True,7.51,True,85.6,False,False,False
True,8.36,False,37.0,True,False,True
True,9.93,False,96.4,False,False,True
False,1.94,False,52.0,True,True,True
False,0.85,True,3.9,True,False,False
False,0.4,True,18.4,True,True,True
False,2.04,True,81.3,True,True,False
False,8.24,True,15.2,True,True,True
False,0.41,True,82.0,True,False,False
True,8.31,False,65.9,False,True,True
False,2.2,True,17.2,True,True,True
True,8.47,False,70.5,False,False,True
False,1.2,True,12.0,True,True,True
False,7.63,True,8.3,True,True,True
False,7.14,True,12.8,True,True,False
False,0.59,True,30.4,True,True,True
True,8.78,False,38.8,False,False,False
False,0.07,True,19.8,False,True,True
False,9.38,True,8.1,True,False,True
True,8.95,False,97.1,False,False,False
True,7.2,False,58.8,True,True,False
False,1.5,True,29.6,False,True,True
False,9.22,True,12.5,True,True,False
False,1.75,False,7.0,False,True,True
False,0.5,True,88.0,True,True,True
True,2.93,False,36.6,False,False,True
False,7.01,True,55.1,True,True,True
True,9.41,False,49.8,False,False,False
False,0.98,True,33.5,True,True,True
True,9.12,True,25.4,True,False,False
True,8.07,False,37.2,False,False,False
False,9.29,True,21.1,True,True,True
False,0.16,True,36.4,True,True,False
True,9.91,False,47.8,False,True,False
False,1.02,True,6.2,True,True,True
True,7.3,False,73.1,False,False,False
False,8.19,False,0.7,True,False,True
True,8.77,False,2.7,True,False,False
False,0.55,True,4.9,True,True,True
False,8.98,True,23.4,False,True,True
True,9.38,True,29.6,True,False,False
True,1.01,False,18.1,False,False,False
True,8.35,False,30.4,True,False,False
False,7.25,True,1.5,True,False,True
True,8.25,True,8.5,False,True,False
False,0.67,True,26.4,True,True,True
True,8.26,False,4.5,False,False,False
True,7.66,False,85.1,False,False,True
False,7.43,True,5.9,True,True,True
True,8.47,False,82.0,False,False,False
True,8.47,True,58.1,False,False,False
True,7.66,True,92.9,False,False,False
False,0.37,True,23.4,False,True,True
False,8.08,False,16.7,True,True,True
True,2.55,False,61.9,False,False,True
True,7.87,False,53.1,False,False,False
False,0.15,False,72.5,False,True,True
False,2.85,True,6.2,True,True,True
False,0.25,False,19.4,True,True,True
False,2.26,False,22.7,True,True,True
True,8.57,False,99.0,False,False,True
True,8.58,False,67.3,False,False,False
False,0.32,True,29.4,False,False,True
False,0.46,True,33.7,True,True,True
True,9.28,True,50.3,False,False,False
False,9.35,True,84.5,True,True,True
True,8.88,False,73.5,True,True,True
True,2.83,False,56.0,True,False,False
False,2.1,True,31.6,True,True,True
True,8.32,False,4.1,False,False,False
True,9.12,False,0.6,True,False,False
True,1.28,False,49.9,False,False,False
True,9.01,True,57.6,False,False,False
True,7.34,False,63.7,False,True,False
True,9.6,False,10.7,False,False,False
True,9.19,False,6.1,False,False,False
True,9.7,False,96.5,False,False,False
True,8.51,True,40.8,False,True,False
True,9.75,False,54.9,False,True,False
True,9.61,False,47.1,True,True,False
False,2.49,False,6.2,True,True,False
False,1.13,True,96.6,True,False,True
True,8.32,False,70.6,True,False,False
False,2.15,True,60.7,True,False,True
True,7.76,False,41.4,False,False,False
False,0.19,True,59.5,True,True,True
False,0.57,True,12.9,True,True,False
False,2.55,True,2.2,True,True,True
True,2.56,False,23.2,False,False,True
False,0.13,False,2.9,True,True,True
False,1.38,False,24.7,False,True,True
True,9.37,True,21.2,False,True,False
False,0.55,True,28.5,True,False,True
False,8.83,True,11.1,True,True,True
True,9.95,False,94.2,False,False,False
True,8.57,False,42.6,False,False,False
False,2.43,True,25.5,True,False,True
True,7.29,True,25.3,True,False,False
False,0.37,True,60.8,True,False,False
True,7.6,True,59.2,True,False,False
True,9.7,False,10.8,False,False,False
False,2.94,True,8.8,True,True,True
True,9.89,False,1.1,False,False,False
True,8.62,False,63.3,False,False,False
False,7.53,True,79.7,True,False,True
False,7.68,False,27.6,True,False,True
True,9.54,False,94.6,False,False,True
False,1.51,False,66.1,True,True,True
False,9.77,False,12.5,True,True,False
True,9.8,False,97.6,False,True,True
True,9.89,False,48.6,False,False,False
False,0.63,False,3.9,True,True,True
False,8.13,True,28.7,True,False,False
False,2.48,True,3.7,True,True,False
True,7.61,True,57.1,False,True,True
False,2.81,False,18.7,False,True,True
False,0.8,True,44.0,False,True,True
True,8.61,False,30.0,False,False,False
True,8.19,False,12.3,False,True,False
True,8.31,False,5.5,True,False,False
True,2.68,False,90.0,False,False,False
True,8.12,False,39.8,False,True,False
True,1.51,False,59.9,False,False,False
False,8.56,True,59.0,True,True,True
False,0.32,True,2.2,True,True,False
True,8.57,False,95.7,True,False,False
False,2.55,False,65.3,True,True,True
False,2.14,True,31.6,False,True,True
True,7.42,True,59.0,False,False,False
False,8.13,True,4.7,False,False,True
False,2.07,False,23.5,True,True,True
False,2.49,True,37.5,True,True,True
True,2.95,False,49.5,True,True,True
True,8.28,False,81.5,False,False,True
True,8.22,False,99.2,True,False,False
True,8.0,False,66.2,False,False,False
False,7.01,False,1.2,True,False,False
False,2.76,True,11.6,True,True,True
True,8.51,True,44.1,False,False,False
True,9.51,False,28.4,False,False,False
True,7.8,False,48.3,False,False,True
True,8.98,False,91.6,False,False,False
True,8.39,False,78.5,False,False,False
False,2.51,True,26.2,True,True,True
False,1.74,True,78.9,True,True,True
True,9.75,False,84.8,False,False,True
True,0.63,False,45.8,False,False,False
True,8.2,True,47.8,False,False,False
True,7.45,False,79.1,False,False,True
False,0.7,True,19.6,True,False,True
False,0.93,True,88.8,True,True,True
True,2.79,False,95.4,False,False,False
True,8.86,False,93.7,False,True,True
False,7.43,True,58.0,False,True,True
True,9.3,False,90.7,False,False,False
